pos,x,y,virtual_x,virtual_y,STAY,UP,DOWN,RIGHT,LEFT,DONE
0,52,50.5,4,0,0,0,1,0,3,0
1,52,49.6,4,1,1,0,1,1,2,1
2,51.5,49.6,3,1,2,3,2,1,5,2
3,51.5,50.5,3,0,3,3,2,0,4,3
4,51,50.5,2,0,4,4,5,3,7,4
5,51,49.6,2,1,5,4,5,2,6,5
6,50.5,49.6,1,1,6,7,11,5,9,6
7,50.5,50.5,1,0,7,7,6,4,8,7
8,50,50.5,0,0,8,8,9,7,8,8
9,50,49.6,0,1,9,8,10,6,9,9
10,50,48.7,0,2,10,9,13,11,10,10
11,50.5,48.7,1,2,11,6,12,11,10,11
12,50.5,47.7,1,3,12,11,15,12,13,12
13,50,47.7,0,3,13,10,14,12,13,13
14,50,46.7,0,4,14,13,17,15,14,14
15,50.5,46.7,1,4,15,12,16,15,14,15
16,50.5,45.7,1,5,16,15,19,16,17,16
17,50,45.7,0,5,17,14,18,16,17,17
18,50,44.7,0,6,18,17,18,19,18,18
19,50.5,44.7,1,6,19,16,19,19,18,19
