,target,robot_pos,action,value
0,0,0,0,0.13289665430784225
1,0,0,1,0.128767820696036
2,0,0,2,0.17737208430965742
3,0,0,3,0.02079522144049406
4,0,0,4,0.25512605905532837
5,0,0,5,0.28504213069876033
6,0,1,0,5.6654558344841156e-05
7,0,1,1,2.996962333175664e-05
8,0,1,2,2.2723525641292024e-05
9,0,1,3,1.791500441565101e-05
10,0,1,4,5.630424402625067e-05
11,0,1,5,0.9998164375623068
12,0,2,0,1.6213320558714865e-06
13,0,2,1,1.1289137660241977e-06
14,0,2,2,6.492927108562677e-07
15,0,2,3,1.4332458420085459e-06
16,0,2,4,1.2088300043918327e-06
17,0,2,5,0.9999939600626627
18,0,3,0,3.537197850770705e-06
19,0,3,1,2.413279939143346e-06
20,0,3,2,2.0078007120597854e-06
21,0,3,3,3.3022207617250388e-06
22,0,3,4,3.219276777599589e-06
23,0,3,5,0.9999854962031046
24,0,4,0,1.8255559931882697e-06
25,0,4,1,1.130354879326963e-06
26,0,4,2,9.687743916704978e-07
27,0,4,3,1.6219818993098063e-06
28,0,4,4,1.4692568962952162e-06
29,0,4,5,0.9999929666519165
30,0,5,0,1.9918736181049706e-05
31,0,5,1,1.6816377486369067e-05
32,0,5,2,6.627824196433115e-06
33,0,5,3,1.112172280196925e-05
34,0,5,4,1.950656223925762e-05
35,0,5,5,0.9999260306358337
36,0,6,0,0.003287722595738766
37,0,6,1,0.00527202548691245
38,0,6,2,0.0008615318461503799
39,0,6,3,0.00151291489369972
40,0,6,4,0.005198716167778154
41,0,6,5,0.9838671088218689
42,0,7,0,9.507311441817971e-05
43,0,7,1,8.955805628829694e-05
44,0,7,2,5.641226372669431e-05
45,0,7,3,8.910318346503725e-05
46,0,7,4,0.00011252458125454723
47,0,7,5,0.999557356039683
48,0,8,0,4.549874120129971e-06
49,0,8,1,3.5730252723927456e-06
50,0,8,2,3.3747994242124455e-06
51,0,8,3,4.9518293963046744e-06
52,0,8,4,3.1718984322045194e-06
53,0,8,5,0.9999803702036539
54,0,9,0,0.00029662100299295463
55,0,9,1,0.00039229025151144015
56,0,9,2,0.0002233328407328372
57,0,9,3,0.00021456206938334313
58,0,9,4,0.00022978017796049244
59,0,9,5,0.9986434181531271
60,0,10,0,1.5065889253188895e-06
61,0,10,1,9.867550640289362e-07
62,0,10,2,8.441203931397467e-07
63,0,10,3,1.7490833291352221e-06
64,0,10,4,1.2288956933540855e-06
65,0,10,5,0.9999936819076538
66,0,11,0,0.008825159342942849
67,0,11,1,0.015181238952626094
68,0,11,2,0.0020306054052715203
69,0,11,3,0.0016463778659954187
70,0,11,4,0.012325471685850667
71,0,11,5,0.9599911570549011
72,0,12,0,0.050783093492100306
73,0,12,1,0.1519019863693908
74,0,12,2,0.024971071602976735
75,0,12,3,0.008904600748716499
76,0,12,4,0.06671342532581548
77,0,12,5,0.6967258006334305
78,0,13,0,3.856718073317703e-05
79,0,13,1,4.1095899784219604e-05
80,0,13,2,9.316146057850952e-06
81,0,13,3,3.6769238856019605e-05
82,0,13,4,4.232200414359492e-05
83,0,13,5,0.9998319546381632
84,0,14,0,0.013540068703302191
85,0,14,1,0.05080249833630054
86,0,14,2,0.006823171571985161
87,0,14,3,0.005284805003024455
88,0,14,4,0.02024847217368612
89,0,14,5,0.9033009807268778
90,0,15,0,0.03961398234059743
91,0,15,1,0.1786063872362623
92,0,15,2,0.037184946589453226
93,0,15,3,0.009418853209353983
94,0,15,4,0.07123004115480096
95,0,15,5,0.6639458052814007
96,0,16,0,0.12296733508507411
97,0,16,1,0.3478202720483144
98,0,16,2,0.11931611225008965
99,0,16,3,0.013684870519985756
100,0,16,4,0.3259022931257884
101,0,16,5,0.07030915465535752
102,0,17,0,0.1149291917681694
103,0,17,1,0.46201057235399884
104,0,17,2,0.1208841602007548
105,0,17,3,0.010004157045235237
106,0,17,4,0.2895169258117676
107,0,17,5,0.002655027632802861
108,0,18,0,6.8547540953053e-05
109,0,18,1,4.5616428754631975e-05
110,0,18,2,2.3057384320660883e-05
111,0,18,3,2.8414663574949373e-05
112,0,18,4,7.256643887861476e-05
113,0,18,5,0.9997618198394775
114,0,19,0,2.9002793932401496e-06
115,0,19,1,2.611025365695241e-06
