nose_x,nose_y,neck_x,neck_y,Rshoulder_x,Rshoulder_y,Relbow_x,Relbow_y,Rwrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,Lear_y,class
0.0,0.0,0.25,0.44,0.24,0.44,0.23,0.49,0.22,0.55,0.26,0.45,0.27,0.55,0.23,0.57,0.24,0.57,0.17,0.58,0.0,0.0,0.27,0.59,0.19,0.59,0.0,0.0,0.0,0.0,0.22,0.36,0.0,0.0,0.23,0.36,0.0
0.0,0.0,0.25,0.44,0.24,0.44,0.23,0.51,0.22,0.55,0.26,0.45,0.27,0.55,0.23,0.57,0.24,0.57,0.17,0.58,0.0,0.0,0.27,0.59,0.19,0.59,0.0,0.0,0.0,0.0,0.22,0.36,0.0,0.0,0.23,0.36,0.0
0.0,0.0,0.34,0.39,0.35,0.38,0.0,0.0,0.0,0.0,0.32,0.42,0.34,0.55,0.29,0.54,0.37,0.57,0.23,0.55,0.0,0.0,0.35,0.58,0.29,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.33,0.0
0.0,0.0,0.34,0.41,0.35,0.38,0.0,0.0,0.0,0.0,0.32,0.42,0.34,0.57,0.29,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.59,0.29,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.32,0.0
0.0,0.0,0.34,0.41,0.35,0.38,0.31,0.49,0.28,0.54,0.32,0.42,0.34,0.55,0.29,0.54,0.37,0.57,0.23,0.55,0.0,0.0,0.35,0.59,0.29,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.32,0.0
0.2,0.39,0.24,0.44,0.23,0.44,0.2,0.52,0.21,0.46,0.26,0.44,0.23,0.55,0.17,0.54,0.24,0.58,0.17,0.58,0.0,0.0,0.27,0.61,0.19,0.59,0.0,0.0,0.0,0.0,0.21,0.38,0.0,0.0,0.23,0.36,0.0
0.2,0.39,0.24,0.44,0.23,0.45,0.2,0.52,0.21,0.45,0.26,0.44,0.23,0.55,0.16,0.54,0.24,0.58,0.17,0.58,0.0,0.0,0.28,0.61,0.19,0.59,0.0,0.0,0.2,0.38,0.2,0.38,0.0,0.0,0.23,0.38,0.0
0.2,0.39,0.24,0.44,0.23,0.45,0.2,0.52,0.21,0.46,0.26,0.44,0.23,0.55,0.17,0.54,0.24,0.58,0.17,0.58,0.0,0.0,0.28,0.61,0.18,0.59,0.0,0.0,0.0,0.0,0.21,0.38,0.0,0.0,0.23,0.36,0.0
0.2,0.39,0.24,0.44,0.23,0.45,0.2,0.52,0.21,0.46,0.26,0.44,0.23,0.55,0.17,0.54,0.24,0.58,0.17,0.58,0.0,0.0,0.28,0.61,0.19,0.59,0.0,0.0,0.2,0.38,0.21,0.38,0.0,0.0,0.23,0.38,0.0
0.2,0.39,0.24,0.44,0.23,0.45,0.2,0.52,0.21,0.46,0.26,0.44,0.23,0.55,0.17,0.54,0.25,0.58,0.17,0.58,0.0,0.0,0.28,0.59,0.19,0.59,0.0,0.0,0.2,0.38,0.21,0.38,0.0,0.0,0.23,0.38,0.0
